SELECTED_ASOS_ID,CLIENT,FACILITY_NAME,WSPP7_AM,I24P7_AM,WSPP2_PM,WSPP7_PM,G24P2_PM,G24P5_PM,Q24P5_AM,Q24P2_AM,I24P2_AM,WSPP5_AM,TXNMN_AM,Q24P1_AM,S24P7_AM,TXNP9_PM,S24P2_AM,TXNP5_AM,W24P5_PM,TXNMN_PM,TXNP5_PM,S24P1_AM,I24P1_AM,W24P7_PM,WSPP9_PM,WSPP2_AM,G24P7_PM,I24P5_AM,TXNP1_AM,WSPP9_AM,Q24P9_AM,W24P2_PM,WSPP1_PM,W24P1_PM,S24P5_AM,TXNP2_AM,W24P9_PM,G24P1_PM,SITE,DATE,Q24P7_AM,TXNP9_AM,I24P9_AM,TXNP7_AM,WSPP5_PM,WSPP1_AM,TXNP2_PM,S24P9_AM,TXNP1_PM,G24P9_PM,TXNP7_PM
RDU,EsteMauder,Summit Manufacturing,12,0,10,12,30,33,0,0,0,12,66,0,0,93,0,66,18,91,91,0,0,20,14,10,36,0,64,14,0,17,8,16,0,65,21,27,RDU,2025-04-06,0,69,0,67,10,8,90,0,88,41,93
RDU,EsteMauder,Summit Manufacturing,10,0,4,8,19,24,0.38,0.11,0,8,61,0,0,81,0,62,14,74,73,0,0,16,10,6,27,0,55,10,1.3,12,4,11,0,58,18,17,RDU,2025-04-07,0.75,66,0,64,6,4,70,0,67,32,77
RDU,EsteMauder,Summit Manufacturing,10,0,4,10,20,24,0.31,0,0,8,46,0,0,71,0,47,14,62,61,0,0,16,10,6,27,0,40,12,1.73,13,4,11,0,44,17,17,RDU,2025-04-08,1.01,53,0,49,6,6,58,0,55,31,66
RDU,EsteMauder,Summit Manufacturing,8,0,4,6,14,17,0,0,0,6,39,0,0,74,0,38,10,64,62,0,0,13,6,4,21,0,34,10,0,9,2,8,0,36,15,11,RDU,2025-04-09,0,43,0,40,4,4,58,0,56,26,67
RDU,EsteMauder,Summit Manufacturing,6,0,4,8,14,18,0,0,0,4,42,0,0,79,0,42,11,71,70,0,0,13,10,4,22,0,36,8,0,9,2,8,0,39,15,11,RDU,2025-04-10,0,49,0,45,6,2,67,0,61,25,75
RDU,EsteMauder,Summit Manufacturing,8,0,6,10,17,20,0,0,0,6,48,0,0,80,0,48,12,73,74,0,0,15,12,4,24,0,41,10,0.19,11,4,9,0,45,16,14,RDU,2025-04-11,0,53,0,51,6,2,69,0,64,28,78
RDU,EsteMauder,Gateway Transportation Depot,10,,6,8,24,26,,,,8,65,,,91,,64,15,88,88,,,16,10,8,29,,63,10,,14,6,13,,64,17,22,RDU,2025-04-03,,68,,66,8,8,86,,84,31,90
RDU,EsteMauder,Gateway Transportation Depot,8,0,6,6,21,23,0,0,0,8,67,0,0,94,0,67,13,91,91,0,0,14,8,6,25,0,64,10,0.02,12,4,11,0,65,16,19,RDU,2025-04-04,0,71,0,68,6,6,89,0,87,28,93
RDU,EsteMauder,Gateway Transportation Depot,8,0,8,10,24,26,0,0,0,8,66,0,0,94,0,66,15,91,91,0,0,16,12,6,28,0,63,10,0.04,14,6,13,0,65,17,21,RDU,2025-04-05,0,69,0,68,8,4,90,0,89,31,92
RDU,EsteMauder,Gateway Transportation Depot,12,0,10,12,30,33,0,0,0,12,66,0,0,93,0,66,18,91,91,0,0,20,14,10,36,0,64,14,0,17,8,16,0,65,21,27,RDU,2025-04-06,0,69,0,67,10,8,90,0,88,41,93
RDU,EsteMauder,Gateway Transportation Depot,10,0,4,8,19,24,0.38,0.11,0,8,61,0,0,81,0,62,14,74,73,0,0,16,10,6,27,0,55,10,1.3,12,4,11,0,58,18,17,RDU,2025-04-07,0.75,66,0,64,6,4,70,0,67,32,77
RDU,EsteMauder,Gateway Transportation Depot,10,0,4,10,20,24,0.31,0,0,8,46,0,0,71,0,47,14,62,61,0,0,16,10,6,27,0,40,12,1.73,13,4,11,0,44,17,17,RDU,2025-04-08,1.01,53,0,49,6,6,58,0,55,31,66
RDU,EsteMauder,Gateway Transportation Depot,8,0,4,6,14,17,0,0,0,6,39,0,0,74,0,38,10,64,62,0,0,13,6,4,21,0,34,10,0,9,2,8,0,36,15,11,RDU,2025-04-09,0,43,0,40,4,4,58,0,56,26,67
RDU,EsteMauder,Gateway Transportation Depot,6,0,4,8,14,18,0,0,0,4,42,0,0,79,0,42,11,71,70,0,0,13,10,4,22,0,36,8,0,9,2,8,0,39,15,11,RDU,2025-04-10,0,49,0,45,6,2,67,0,61,25,75
RDU,EsteMauder,Gateway Transportation Depot,8,0,6,10,17,20,0,0,0,6,48,0,0,80,0,48,12,73,74,0,0,15,12,4,24,0,41,10,0.19,11,4,9,0,45,16,14,RDU,2025-04-11,0,53,0,51,6,2,69,0,64,28,78
SPI,EsteMauder,Cedar Valley Distribution,8,,4,6,18,20,,,,6,48,,,68,,49,13,62,62,,,14,6,6,22,,43,8,,11,2,10,,45,15,16,SPI,2025-04-03,,53,,51,4,4,59,,57,24,65
SPI,EsteMauder,Coastal Fisheries HQ,8,,4,6,18,20,,,,6,48,,,68,,49,13,62,62,,,14,6,6,22,,43,8,,11,2,10,,45,15,16,SPI,2025-04-03,,53,,51,4,4,59,,57,24,65
SPI,EsteMauder,Cedar Valley Distribution,10,0,10,12,25,28,0.1,0,0,10,45,0,0,72,0,45,18,65,64,0,0,20,14,8,32,0,41,10,0.67,16,8,15,0,42,22,23,SPI,2025-04-04,0.34,51,0,47,10,8,61,0,58,34,67
SPI,EsteMauder,Coastal Fisheries HQ,10,0,10,12,25,28,0.1,0,0,10,45,0,0,72,0,45,18,65,64,0,0,20,14,8,32,0,41,10,0.67,16,8,15,0,42,22,23,SPI,2025-04-04,0.34,51,0,47,10,8,61,0,58,34,67
SPI,EsteMauder,Cedar Valley Distribution,12,0,10,14,29,31,1.84,1.18,0,10,48,0.61,0,62,0,46,20,56,55,0,0,22,14,10,34,0,43,14,3.21,18,10,17,0,44,23,26,SPI,2025-04-05,2.53,56,0,49,12,8,53,0,51,36,58
SPI,EsteMauder,Coastal Fisheries HQ,12,0,10,14,29,31,1.84,1.18,0,10,48,0.61,0,62,0,46,20,56,55,0,0,22,14,10,34,0,43,14,3.21,18,10,17,0,44,23,26,SPI,2025-04-05,2.53,56,0,49,12,8,53,0,51,36,58
SPI,EsteMauder,Cedar Valley Distribution,14,0,6,10,27,30,0.71,0.18,0,12,38,0,0,58,0,38,19,52,52,0,0,22,12,10,35,0,35,16,2.08,17,6,15,0,37,25,24,SPI,2025-04-06,1.41,41,0,40,10,10,49,0,46,38,55
SPI,EsteMauder,Coastal Fisheries HQ,14,0,6,10,27,30,0.71,0.18,0,12,38,0,0,58,0,38,19,52,52,0,0,22,12,10,35,0,35,16,2.08,17,6,15,0,37,25,24,SPI,2025-04-06,1.41,41,0,40,10,10,49,0,46,38,55
SPI,EsteMauder,Cedar Valley Distribution,10,0,10,12,25,29,0,0,0,10,32,0,0,60,0,32,19,51,50,0,0,21,14,8,32,0,27,12,0.27,17,8,15,0,29,23,24,SPI,2025-04-07,0.08,36,0,34,10,6,47,0,45,35,56
SPI,EsteMauder,Coastal Fisheries HQ,10,0,10,12,25,29,0,0,0,10,32,0,0,60,0,32,19,51,50,0,0,21,14,8,32,0,27,12,0.27,17,8,15,0,29,23,24,SPI,2025-04-07,0.08,36,0,34,10,6,47,0,45,35,56
SPI,EsteMauder,Cedar Valley Distribution,10,0,6,10,20,24,0,0,0,8,28,0,0,64,0,27,15,54,52,0,0,18,10,6,29,0,23,12,0.02,13,4,10,0,25,21,16,SPI,2025-04-08,0,32,0,29,8,4,48,0,45,33,58
SPI,EsteMauder,Coastal Fisheries HQ,10,0,6,10,20,24,0,0,0,8,28,0,0,64,0,27,15,54,52,0,0,18,10,6,29,0,23,12,0.02,13,4,10,0,25,21,16,SPI,2025-04-08,0,32,0,29,8,4,48,0,45,33,58
SPI,EsteMauder,Cedar Valley Distribution,12,0,8,12,24,29,0,0,0,10,34,0,0,77,0,33,18,65,66,0,0,21,14,8,33,0,26,12,0.02,15,6,13,0,29,23,21,SPI,2025-04-09,0,44,0,39,10,6,58,0,52,36,72
SPI,EsteMauder,Coastal Fisheries HQ,12,0,8,12,24,29,0,0,0,10,34,0,0,77,0,33,18,65,66,0,0,21,14,8,33,0,26,12,0.02,15,6,13,0,29,23,21,SPI,2025-04-09,0,44,0,39,10,6,58,0,52,36,72
SPI,EsteMauder,Cedar Valley Distribution,12,0,6,10,24,27,0,0,0,8,45,0,0,81,0,46,17,72,75,0,0,20,14,6,31,0,32,12,0.32,15,4,12,0,41,24,19,SPI,2025-04-10,0.1,53,0,50,10,4,66,0,58,38,78
SPI,EsteMauder,Coastal Fisheries HQ,12,0,6,10,24,27,0,0,0,8,45,0,0,81,0,46,17,72,75,0,0,20,14,6,31,0,32,12,0.32,15,4,12,0,41,24,19,SPI,2025-04-10,0.1,53,0,50,10,4,66,0,58,38,78
SPI,EsteMauder,Cedar Valley Distribution,10,0,6,12,22,26,0,0,0,8,46,0,0,87,0,46,17,73,74,0,0,20,14,6,31,0,35,12,0.25,14,4,12,0,42,22,19,SPI,2025-04-11,0.08,54,0,50,10,4,68,0,61,34,79
SPI,EsteMauder,Coastal Fisheries HQ,10,0,6,12,22,26,0,0,0,8,46,0,0,87,0,46,17,73,74,0,0,20,14,6,31,0,35,12,0.25,14,4,12,0,42,22,19,SPI,2025-04-11,0.08,54,0,50,10,4,68,0,61,34,79
CQT,EsteMauder,Starview Aerospace Facility,4,,8,10,16,18,,,,4,48,,,67,,48,10,65,65,,,11,10,2,21,,46,6,,9,8,8,,47,12,15,CQT,2025-04-03,,50,,49,10,2,63,,62,24,66
